fipsCode,county_name,fia_forest_acres,fia_forest_se_pct,fia_plots,fia_pct_forest
18001,IN Adams,6377.4527078951,87.897544106,1.0,0.029401019266996613
18003,IN Allen,81661.961074351,25.6552621688,15.0,0.19412264442214125
18005,IN Bartholomew,51423.0756058814,30.6833365508,9.0,0.19744570608490117
18007,,0.0,,,0.0
18009,IN Blackford,13125.9177990993,65.842535583,2.0,0.12423672212047744
18011,IN Boone,9604.2152989729,71.71769276,3.0,0.035486462901341644
18013,IN Brown,163351.1205933408,17.3006196091,34.0,0.8180985936179872
18015,IN Carroll,39827.4395265255,39.1994895768,6.0,0.16718483245401597
18017,IN Cass,26065.7494385959,44.5062487471,6.0,0.09881918333836254
18019,IN Clark,84896.8126819711,25.1125341009,16.0,0.355795589988949
18021,IN Clay,51257.2136927867,33.9347873458,9.0,0.22396363645128417
18023,IN Clinton,101.4647117681,103.745856621,1.0,0.0003913886150628322
18025,IN Crawford,130314.0651463744,19.3961997176,29.0,0.6662534865703029
18027,IN Daviess,30036.928561509,46.0332847187,5.0,0.1092731318986955
18029,IN Dearborn,117590.9690209097,20.9045444515,23.0,0.6022409643648252
18031,IN Decatur,30054.0717731713,37.641046728,7.0,0.12604272816124884
18033,IN De Kalb,26795.3864893596,42.1850360535,7.0,0.11539135467177564
18035,IN Delaware,16704.4343468877,57.9855964976,3.0,0.06656621295791654
18037,IN Dubois,80524.8838193349,25.2426514531,17.0,0.2944779726111682
18039,IN Elkhart,40816.1227030777,35.4231693003,8.0,0.13769551349003675
18041,IN Fayette,35654.4715547399,40.9033497804,7.0,0.25909149247878627
18043,IN Floyd,35410.1529230632,38.0960136428,8.0,0.37262925183886325
18045,IN Fountain,22429.5316072156,43.6380042599,5.0,0.08857462098596391
18047,IN Franklin,117475.9832302732,21.1975327941,18.0,0.47748129366198405
18049,IN Fulton,16991.5652189352,52.1437031375,4.0,0.07206792923477441
18051,IN Gibson,51750.7003358321,33.509515329,9.0,0.16590744706880967
18053,IN Grant,10854.1907619022,68.6852252133,2.0,0.040956589200563616
18055,IN Greene,134905.7869995511,18.9489194797,23.0,0.3885771709372157
18057,IN Hamilton,22321.8664504478,50.311165908,4.0,0.08843800812122585
18059,IN Hancock,16832.72953182,57.7595325169,3.0,0.08596351740103594
18061,IN Harrison,136625.7951433167,19.7693717695,25.0,0.4409750898803405
18063,IN Hendricks,27807.409110146,45.2590583739,5.0,0.10678229891471273
18065,IN Henry,20345.5012410757,49.1089582685,4.0,0.08112199922215589
18067,IN Howard,15480.5538629775,55.9140411397,3.0,0.08253330357146094
18069,IN Huntington,34751.1230811071,38.0236469995,9.0,0.14190192530028786
18071,IN Jackson,132129.9869084929,18.9243205609,30.0,0.40482747205667724
18073,IN Jasper,30415.8786258889,43.7826634547,5.0,0.08491425520467305
18075,IN Jay,37987.4262217499,39.0171717744,5.0,0.15460948274048064
18077,IN Jefferson,58867.4694305447,31.8506420787,11.0,0.25504775117908746
