fipsCode,tl_km,tl_segments,tl_max_kv,tl_km_per_1ksqmi
18001,336.44685392866523,12,765.0,992.6852880235368
18003,1204.6732164221185,118,765.0,1832.760104095723
18005,683.6808741089741,49,345.0,1680.0532611907754
18007,73.54885309013804,9,345.0,180.96849325113072
18009,160.7131110155648,5,345.0,973.5350372273466
18011,411.17907525792424,35,345.0,972.3257912560103
18013,111.1539900960135,6,230.0,356.27763367067695
18015,157.13771195828113,3,230.0,422.15786676951075
18017,265.27793129904427,20,345.0,643.6535077522523
18019,364.87845058435295,39,345.0,978.6724528185848
18021,292.13255820906073,23,230.0,816.9254983474852
18023,259.1662303783407,7,230.0,639.8107729791385
18025,585.5432293430662,19,765.0,1915.9630949699988
18027,1310.563293674224,37,765.0,3051.3768220047637
18029,1449.2776719057122,43,345.0,4750.3750468086555
18031,733.1433328882548,32,765.0,1967.8107966552543
18033,324.18800429162536,30,345.0,893.4909566980548
18035,784.9150089647123,70,345.0,2001.81843189564
18037,939.1185428297734,49,765.0,2197.976765777149
18039,676.7947006771211,37,345.0,1461.2514885258497
18041,689.0840684608033,24,345.0,3204.7291588300836
18043,566.9945419063149,55,345.0,3818.63364273082
18045,461.86865959817095,20,345.0,1167.313655888702
18047,939.5714477572352,37,345.0,2444.0892337074893
18049,226.9186741101124,5,765.0,615.9690170826059
18051,865.0110953944281,59,345.0,1774.8076879875337
18053,397.9810642412879,37,138.0,961.1003051066024
18055,1029.7880250044284,43,345.0,1898.342249398449
18057,769.9854327991078,106,765.0,1952.4095796638944
18059,705.9896512320126,40,765.0,2307.4799767026498
18061,839.6769880196147,64,345.0,1734.4971080999428
18063,633.5251592781831,59,345.0,1556.9783758870446
18065,773.5167765988582,32,345.0,1973.8764372465291
18067,353.27534296727924,15,230.0,1205.4134551931568
18069,658.9040352867486,21,765.0,1721.95415455613
18071,558.6260301002033,37,345.0,1095.3924092807988
18073,172.73467538381703,20,138.0,308.63113812145696
18075,140.9646054713238,13,138.0,367.1861670760313
18077,1423.1577023551874,26,765.0,3946.200372546549
18079,391.96802977237473,14,765.0,1040.815592722127
18081,666.0743254207625,50,345.0,2078.786340904023
18083,1844.8163867218975,70,765.0,3576.4246282608265
18085,602.5415296249352,13,765.0,1133.781790037963
18087,313.3256736356731,12,345.0,825.3448716794593
18089,1427.098909107728,168,765.0,2861.4716792240433
18091,1102.8766425934527,49,765.0,1843.3906178697723
18093,766.0018692717242,41,345.0,1705.4629658768513
18095,987.938098957794,67,765.0,2186.0858401308947
18097,1369.095462866097,160,345.0,3451.9769015211264
18099,715.2071409053594,12,765.0,1612.2067104850084
18101,752.8996776020515,15,345.0,2242.3678676262325
18103,245.9585822460483,8,765.0,657.9212133629939
18105,863.0662495919787,41,345.0,2187.6251504148786
18107,480.1340622444737,36,345.0,951.4255751931026
18109,750.909418942225,32,345.0,1859.450712278374
18111,57.51287297919145,6,,143.15409386116278
18113,400.00110398801087,30,345.0,973.605870798016
18115,117.3808435553257,3,138.0,1362.5170464924631
18117,366.46554129667186,25,345.0,919.8917144143436
18119,787.6196889217473,16,345.0,2044.1990914020355
18121,242.90818608235017,20,230.0,546.2035435303261
18123,395.88792134859506,37,765.0,1037.0616685403547
18125,1288.4444375720182,53,765.0,3854.121672769967
18127,1049.4195228305778,75,765.0,2509.948536322489
18129,448.8642764808239,63,345.0,1096.435571603317
18131,369.4381728517764,6,345.0,851.8779566536609
18133,415.0734859492083,34,345.0,863.7700862768286
18135,484.6208829965248,16,345.0,1071.2718384286732
18137,652.7203673359757,29,345.0,1462.111869988723
18139,981.1418135846742,39,765.0,2403.9521376025064
18141,1847.712495169224,85,765.0,4036.2720170939647
18143,274.26810638233525,23,765.0,1440.4610556679004
18145,843.0548875983656,45,765.0,2050.5399345192263
18147,831.419246113589,41,765.0,2094.8776868529917
18149,366.4781872000676,5,345.0,1185.461102916659
18151,119.058318917598,9,138.0,385.5802696366569
18153,885.1532733428413,43,765.0,1979.4469987898196
18155,753.4911225131851,36,345.0,3414.591705698992
18157,679.5232583256213,56,345.0,1362.023900898607
18159,242.05863081882816,3,765.0,929.0615711877522
18161,522.0724483189924,20,345.0,3238.8637528320146
18163,645.552244130488,128,345.0,2765.8503782352605
18165,670.3837578514652,28,345.0,2609.8782151312184
18167,928.6607575871776,73,345.0,2300.8863942597495
18169,263.50037478858866,14,765.0,638.7299467893592
18171,305.0796062199703,5,345.0,836.5450278866168
18173,394.16151606341026,44,138.0,1024.2138120309066
18175,572.4740424057183,18,765.0,1114.4413668356767
18177,633.7338184681677,54,345.0,1577.4175701254192
18179,565.1805300237215,24,765.0,1535.4536564011266
18181,646.2466151824796,24,345.0,1279.3441313826088
18183,577.1921547090064,19,765.0,1720.045280566104
39001,858.9108213162052,31,345.0,1471.0601318717206
39003,642.6475969502463,41,345.0,1596.4615060434146
39005,561.542983400365,15,138.0,1327.5655833403034
39007,284.82728535459654,27,345.0,405.698153245483
39009,595.5887864950312,22,345.0,1182.559082397549
39011,483.8992245712868,27,765.0,1205.5647517396803
39013,1025.9648020398993,83,765.0,1928.0450006105673
39015,872.5356544699436,21,345.0,1782.34732080725
39017,927.9455337045852,136,345.0,1989.0627999943952
39019,1181.5386482502731,31,765.0,2994.1782009930594
39021,240.1515767331465,19,138.0,559.8082392162655
39023,577.1681808582339,51,345.0,1454.274701880517
39025,1360.411640559778,66,345.0,3006.0359743675485
39027,350.84495146032725,18,345.0,858.3761727403286
39029,1176.06798919192,19,345.0,2210.9990641245154
39031,716.2487393529964,18,345.0,1269.971593993128
