n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,state,metric
1800,0.024625493045863485,5,0.7341924528850906,0.681902962431859,3,1.3519116510894296,0.00015821607654820154,PRUNED,0.008275313830614679
1800,0.04031019317968258,5,0.6709577807017977,0.6947630635002875,1,2.0128763371596836,0.00010198327424966757,PRUNED,0.008275770162872592
700,0.034214181372507056,5,0.8474962834566732,0.7559176316106343,8,0.7946472137534007,0.00017468001994355687,PRUNED,0.008302197322545841
1500,0.012016431747348134,4,0.7760344956527362,0.7716079947871982,3,0.341380304295585,0.00043909456368630885,PRUNED,0.008335014727015755
300,0.13987451224230907,6,0.9960454578505709,0.6561887523119667,10,0.30015816915321175,0.0009103789437118347,PRUNED,0.008342721136172147
2000,0.015178307672159195,5,0.7548694385284039,0.7369429735897751,9,3.45641105000061,0.0006039170191846163,PRUNED,0.00834903357037848
1600,0.032898977998285284,4,0.8363223463950744,0.8084690059826282,11,0.11288457866569171,0.00022780198210021265,PRUNED,0.008351248045900376
1500,0.0594351577488036,3,0.8861127991184723,0.5386157562923101,3,5.146962931010751,0.00041539654602284446,PRUNED,0.008351264959122702
1300,0.11153478352024898,6,0.825530728882889,0.5724430447350412,7,0.437116017162474,0.00036705800142749676,PRUNED,0.008352192486759467
1200,0.019299974421195753,4,0.6975431256507983,0.6168502132035966,5,1.1416330446951057,0.0009390607047163696,PRUNED,0.008364830616785605
2000,0.017989360407852525,4,0.7160204903952869,0.8271263289519736,4,0.15199163933029838,0.0005656560483829988,PRUNED,0.00837373640670285
1700,0.012017303936226575,3,0.9170591868354608,0.481903441846693,30,8.16374869452711,4.701050633113008,PRUNED,0.00839997645589823
800,0.043477055106943,3,0.9010984903770198,0.44473038620786254,40,5.983542473217019,0.0008585370205937364,PRUNED,0.008410524472955632
1900,0.015917060896736866,4,0.9429216893832113,0.7135725448158806,14,0.12106758696858064,0.40735212479022026,PRUNED,0.00842031466499194
1300,0.07386391228000022,5,0.6347936794723361,0.8023014477445489,15,1.2848662140367788,0.0013429680269363487,PRUNED,0.00842163141050821
1400,0.013635194319472839,4,0.722525318000438,0.9947663176861599,9,1.6786603874270918,0.0018570268889592369,PRUNED,0.008432874464639807
400,0.017001754132211097,3,0.6626651653816322,0.6332063738136893,11,8.071418522169695,0.004746496676106306,PRUNED,0.008435248437635707
900,0.04844463445211732,3,0.8708985492426263,0.7721559796995066,4,0.641233516541324,0.01021855403238381,PRUNED,0.008448800753097528
1900,0.05261846898347101,5,0.8033099624520056,0.5227572446207671,5,0.9300370205283065,0.0011958816666434086,PRUNED,0.008453211552040625
1600,0.03414652924516291,8,0.7836988137501216,0.6276715531742942,3,0.19825607211491367,0.00015552127683523078,PRUNED,0.008464212065344295
1000,0.06100772956858172,7,0.5975555076129301,0.5269903725778321,24,0.8385552903203459,0.00026529262071474494,PRUNED,0.008469003047750008
1600,0.021894932902542505,4,0.7591399018676126,0.8900495558080491,13,1.581081266802353,0.0004922128687200229,PRUNED,0.008474010554360069
1500,0.10325768596030366,4,0.8448372126058836,0.5964943525856926,17,2.7460689362515796,0.00033426463714366625,PRUNED,0.00850959887003441
