hidden,dropout,lr,wd,batch,alpha,state,metric,folds_done
96,0.13593386383444786,0.0008195516599197674,3.8627325932045265e-06,16,0.6404052868155784,PRUNED,0.008629078176996041,1
32,0.13915496772224042,0.0011769608077146654,1.3371657086849065e-05,16,0.500553439840655,PRUNED,0.008672729404927915,1
48,0.2286077059531944,0.001970055672995085,2.251425849238011e-06,32,0.5033426160080553,PRUNED,0.008683565121993447,1
96,0.2869897065593998,0.0008340603242898071,1.4283916590313659e-05,16,0.3933850001992243,PRUNED,0.008694801688684256,1
64,0.2569783164920467,0.0037739389441017413,4.195196745003561e-05,16,0.5663557075236643,PRUNED,0.008709518672876709,1
32,0.11882566278425072,0.0009229451669037228,7.073719261334771e-06,16,0.5895451080982969,PRUNED,0.00874998163196609,1
64,0.1692898965740432,0.0005327734079493368,5.304748503302383e-06,16,0.6149717009941459,PRUNED,0.008763951107294825,1
32,0.2160505638469762,0.0023026563724074956,8.363562601416988e-06,16,0.5218351063466111,PRUNED,0.008768191435115721,1
32,0.05128538200715352,0.0015250911526864753,8.815580406018554e-06,16,0.4274970383984627,PRUNED,0.008780101653525803,1
32,0.20004817487539364,0.0012653123222393348,5.277446173745144e-06,16,0.5663433135259901,PRUNED,0.008782349997236899,1
32,0.19383792936842556,0.0009679203040014754,2.6950623531376e-05,16,0.5711425986527419,PRUNED,0.008852388857745173,1
32,0.3119427285565616,0.001036484860967413,2.0517545404932983e-06,16,0.4881117492312341,PRUNED,0.008884378772495987,1
32,0.17340735735132157,0.0010515898163794893,2.7855101733705248e-05,16,0.337766219748299,PRUNED,0.008891886340939055,1
64,0.31923275766412795,0.005562580021369524,1.132102180423036e-06,16,0.6630659181130072,PRUNED,0.008929919096846178,1
48,0.08817001260010236,0.0014773901110701154,1.5962678620011811e-06,16,0.4058868799218716,PRUNED,0.009004130332329361,1
96,0.3016601312983604,0.0006918029095384725,1.5240043910452771e-05,16,0.6003988944050104,PRUNED,0.009052150720139021,1
96,0.32932489233111517,0.0006530273110634999,9.208329126092008e-05,32,0.5496131333653598,PRUNED,0.009095144031189217,1
96,0.23794367406548486,0.002745865738755458,3.1057508155119937e-06,64,0.6985109828467737,PRUNED,0.009109066198906253,1
64,0.34514257059899445,0.0016394337629241083,0.0001336782788799053,16,0.47218083316144427,PRUNED,0.009147846800839438,1
32,0.14049532270621576,0.0012000383109648965,9.305696970760455e-06,16,0.5117011737851632,COMPLETE,0.010681252148835427,3
32,0.2784077691623665,0.0008793337269750441,1.3143303102098261e-05,16,0.41071264043841393,COMPLETE,0.010690193526561137,3
96,0.2816734307889972,0.0008192571515140789,1.0388823104027941e-06,16,0.6085081386743783,COMPLETE,0.010710456157806593,3
32,0.1475990992289793,0.0013134793402097289,6.516990611177181e-06,16,0.5170784332632994,COMPLETE,0.010725492947245547,3
32,0.14804964595728423,0.0012608433595302786,9.722840587524907e-06,16,0.5295238119250067,COMPLETE,0.010763155930620716,3
32,0.27447900215888316,0.0006175424726260907,0.0003060845922405238,16,0.3681845114128452,COMPLETE,0.010765877183986153,3
32,0.27596731820794157,0.0012845577131949766,4.801943379928181e-06,16,0.46690312588078425,COMPLETE,0.01077599298495729,3
48,0.09680559213273096,0.0007367435886218593,1.493656855461763e-06,16,0.308233797718321,COMPLETE,0.010801305030622143,3
32,0.10502135295603016,0.0010648845527550885,3.752055855124284e-05,64,0.3557975442608167,COMPLETE,0.010880739359657735,3
32,0.24212835754298723,0.0009705267902449245,2.46992398829032e-06,64,0.4075932516189292,COMPLETE,0.010883157537071345,3
32,0.17311909601399308,0.0014026009159936626,1.0470433661847926e-06,64,0.4508247638106295,COMPLETE,0.010901778038716989,3
48,0.2140130838029839,0.0007915192217154803,0.0008105016126411582,32,0.5391599915244341,COMPLETE,0.010910546100057442,3
96,0.10990213464750792,0.0017944120059761098,5.987474910461405e-05,32,0.3260206371941118,COMPLETE,0.010961681712979935,3
48,0.07930163420191516,0.0027376722540713677,2.091498132903561e-05,32,0.6637281608315128,COMPLETE,0.010985699941442722,3
48,0.15,0.002,0.0001,32,0.5,COMPLETE,0.01099010551571329,3
96,0.25492770355967276,0.000561715049485368,0.00021976264740968012,16,0.6070503990803165,COMPLETE,0.011150825931254054,3
96,0.33930438125578205,0.005259125105580038,0.0009486106505184117,64,0.4424364893339975,COMPLETE,0.01119677310046624,3
