fipsCode,value,category,count,acreage
18001,1,Corn,287777,64000.1
18001,4,Sorghum,444,98.7
18001,5,Soybeans,396865,88260.7
18001,6,Sunflowers,8,1.8
18001,12,Sweet Corn,71,15.8
18001,13,Pop or Orn Corn,802,178.4
18001,21,Barley,484,107.6
18001,24,Winter Wheat,16488,3666.8
18001,26,Dbl Crop WinWht/Soybeans,5030,1118.6
18001,27,Rye,275,61.2
18001,28,Oats,650,144.6
18001,31,Canola,18,4.0
18001,36,Alfalfa,20341,4523.7
18001,37,Other Hay/Non Alfalfa,472,105.0
18001,42,Dry Beans,1,0.2
18001,44,Other Crops,5,1.1
18001,48,Watermelons,4,0.9
18001,50,Cucumbers,84,18.7
18001,54,Tomatoes,33,7.3
18001,58,Clover/Wildflowers,198,44.0
18001,59,Sod/Grass Seed,113,25.1
18001,60,Switchgrass,16,3.6
18001,61,Fallow/Idle Cropland,1059,235.5
18001,69,Grapes,103,22.9
18001,70,Christmas Trees,33,7.3
18001,111,Open Water,5159,1147.3
18001,121,Developed/Open Space,28103,6250.0
18001,122,Developed/Low Intensity,25807,5739.3
18001,123,Developed/Medium Intensity,14297,3179.6
18001,124,Developed/High Intensity,4436,986.5
18001,131,Barren,2118,471.0
18001,141,Deciduous Forest,66096,14699.4
18001,142,Evergreen Forest,175,38.9
18001,143,Mixed Forest,3,0.7
18001,152,Shrubland,4,0.9
18001,176,Grass/Pasture,89119,19819.6
18001,190,Woody Wetlands,10098,2245.7
18001,195,Herbaceous Wetlands,1131,251.5
18001,205,Triticale,237,52.7
18001,225,Dbl Crop WinWht/Corn,3,0.7
18001,229,Pumpkins,19,4.2
18001,254,Dbl Crop Barley/Soybeans,65,14.5
18003,1,Corn,347926,77376.9
18003,4,Sorghum,77,17.1
18003,5,Soybeans,491728,109357.7
18003,6,Sunflowers,28,6.2
18003,12,Sweet Corn,113,25.1
18003,13,Pop or Orn Corn,16,3.6
18003,21,Barley,247,54.9
18003,24,Winter Wheat,36790,8181.9
18003,26,Dbl Crop WinWht/Soybeans,5233,1163.8
18003,27,Rye,714,158.8
18003,28,Oats,893,198.6
18003,31,Canola,18,4.0
18003,36,Alfalfa,20816,4629.4
18003,37,Other Hay/Non Alfalfa,75,16.7
18003,44,Other Crops,2,0.4
18003,50,Cucumbers,142,31.6
18003,54,Tomatoes,90,20.0
18003,58,Clover/Wildflowers,74,16.5
18003,59,Sod/Grass Seed,948,210.8
18003,60,Switchgrass,24,5.3
18003,61,Fallow/Idle Cropland,4021,894.2
18003,68,Apples,1,0.2
18003,69,Grapes,198,44.0
18003,111,Open Water,27165,6041.4
18003,121,Developed/Open Space,123839,27541.1
18003,122,Developed/Low Intensity,181262,40311.7
18003,123,Developed/Medium Intensity,141352,31435.9
18003,124,Developed/High Intensity,48398,10763.5
18003,131,Barren,12893,2867.3
18003,141,Deciduous Forest,186771,41536.9
18003,142,Evergreen Forest,2306,512.8
18003,143,Mixed Forest,62,13.8
18003,152,Shrubland,7,1.6
18003,176,Grass/Pasture,233681,51969.4
18003,190,Woody Wetlands,25123,5587.2
18003,195,Herbaceous Wetlands,6181,1374.6
18003,205,Triticale,77,17.1
18003,225,Dbl Crop WinWht/Corn,71,15.8
18003,229,Pumpkins,53,11.8
18003,249,Gourds,7,1.6
18003,254,Dbl Crop Barley/Soybeans,28,6.2
18005,1,Corn,229777,51101.2
18005,4,Sorghum,300,66.7
18005,5,Soybeans,312393,69474.5
18005,6,Sunflowers,5,1.1
18005,11,Tobacco,15,3.3
18005,12,Sweet Corn,138,30.7
18005,13,Pop or Orn Corn,9,2.0
18005,21,Barley,8,1.8
