fipsCode,land_sqmi,lat,lon,population,rucc,pop_density
18001,338.926,40.745733,-84.93613,35809,6.0,105.65433162401233
18003,657.3,41.091909,-85.071791,385410,2.0,586.3532633500685
18005,406.94,39.205843,-85.897999,82208,3.0,202.01503907209909
18007,406.418,40.600939,-87.314786,8719,3.0,21.453282088883856
18009,165.082,40.472672,-85.32373,12112,6.0,73.36959813910663
18011,422.882,40.050892,-86.469014,70812,1.0,167.45096740934824
18013,311.987,39.195113,-86.230121,15475,1.0,49.60142570042982
18015,372.225,40.58498,-86.565141,20306,3.0,54.55302572368863
18017,412.144,40.753799,-86.355168,37870,4.0,91.88536045653946
18019,372.83,38.476217,-85.711122,121093,1.0,324.7941421022986
18021,357.6,39.393928,-87.115858,26466,3.0,74.01006711409396
18023,405.067,40.305944,-86.477567,33190,6.0,81.93706226377364
18025,305.613,38.289433,-86.440871,10526,8.0,34.44225212932696
18027,429.499,38.69609,-87.076943,33381,7.0,77.72078631149316
18029,305.087,39.140897,-84.975868,50679,1.0,166.11327260748573
18031,372.568,39.30598,-85.499831,26472,6.0,71.05280109939662
18033,362.833,41.39676,-85.002697,43265,4.0,119.24218579897638
18035,392.101,40.227543,-85.399262,111903,3.0,285.39330427619416
18037,427.265,38.373344,-86.873385,43637,5.0,102.13099598609763
18039,463.161,41.600693,-85.863986,207047,3.0,447.0302983195908
18041,215.021,39.639655,-85.185032,23398,6.0,108.8172783123509
18043,148.481,38.318081,-85.911847,80484,1.0,542.0491510698339
18045,395.668,40.121237,-87.234872,16479,8.0,41.648553838066256
18047,384.426,39.409762,-85.066964,22785,1.0,59.270184638916206
18049,368.393,41.050384,-86.265006,20480,7.0,55.592804423536826
18051,487.383,38.317398,-87.580523,33011,6.0,67.7311272654155
18053,414.089,40.515758,-85.654946,66674,4.0,161.0136951235121
18055,542.467,39.047147,-87.004771,30803,6.0,56.78317759421311
18057,394.377,40.053513,-86.021709,347467,1.0,881.0529011580289
18059,305.957,39.822529,-85.77315,79840,1.0,260.951702363404
18061,484.104,38.186454,-86.103766,39654,1.0,81.91215110802638
18063,406.894,39.768963,-86.509908,174788,1.0,429.5664227046847
18065,391.877,39.929591,-85.397363,48914,6.0,124.81977763430872
18067,293.074,40.483537,-86.114118,83658,3.0,285.45009110327084
18069,382.649,40.826394,-85.478597,36662,6.0,95.81104354120879
18071,509.978,38.911957,-86.042516,46428,4.0,91.03922129974234
18073,559.68,41.017688,-87.118814,32918,1.0,58.81575185820469
18075,383.905,40.434956,-85.002331,20478,6.0,53.341321420663974
18077,360.64,38.783604,-85.44009,33147,6.0,91.91160159716061
18079,376.597,38.996229,-85.628103,27613,6.0,73.32241095919511
18081,320.415,39.496092,-86.094264,161765,1.0,504.8608835416569
18083,515.827,38.688391,-87.420354,36282,7.0,70.33753564664121
18085,531.444,41.244293,-85.861575,80240,4.0,150.98486388029596
18087,379.63,41.642462,-85.427845,40446,8.0,106.54057898480099
18089,498.729,41.472247,-87.374337,498700,1.0,999.9418521882626
18091,598.287,41.549013,-86.744739,112417,3.0,187.89811578723922
18093,449.146,38.839815,-86.48782,45011,6.0,100.21462954139633
18095,451.921,40.166203,-85.722454,130129,1.0,287.94634460447736
18097,396.612,39.782976,-86.135794,977203,1.0,2463.8765342450556
18099,443.62,41.325003,-86.269036,46095,6.0,103.9064965511023
18101,335.761,38.705322,-86.801847,9812,9.0,29.223167669860405
18103,373.842,40.772883,-86.044258,35962,6.0,96.19571904708407
18105,394.522,39.160729,-86.52331,139718,3.0,354.1450159940384
18107,504.647,40.040296,-86.892715,37936,6.0,75.17333898745063
18109,403.834,39.482646,-86.447457,71780,1.0,177.74630169822254
18111,401.755,40.962399,-87.402172,13830,1.0,34.42396485420219
18113,410.845,41.404679,-85.417271,47457,6.0,115.5107157200404
18115,86.15,38.940527,-84.964299,5940,1.0,68.9495066744051
18117,398.379,38.547381,-86.489257,19867,8.0,49.86959653997826
18119,385.295,39.317339,-86.838845,21321,3.0,55.336819839343875
18121,444.721,39.77425,-87.19695,16156,8.0,36.32839465642504
18123,381.74,38.081436,-86.62654,19170,7.0,50.21742547283491
