scheme,nested_rmse,nonnested_rmse,gap,vs_prod
production (no fitting),0.00888095201829833,0.00888095201829833,0.0,0.0
equal (all 21),0.009005309266332372,0.009005309266332372,0.0,0.0001243572480340415
NNLS,0.009477095672985544,0.008812213300558387,-0.0006648823724271571,0.0005961436546872128
simplex LS,0.009005309266332372,0.009005309266332372,0.0,0.0001243572480340415
fit-the-metric (simplex),0.00911442876625517,0.00874372220572525,-0.0003707065605299195,0.00023347674795683865
inverse-MSE,0.009004695478960741,0.008982732054819075,-2.1963424141666077e-05,0.00012374346066241007
BMA,0.00937339281649617,0.009004968891039695,-0.000368423925456475,0.0004924407981978397
ridge->equal (lam=1),0.009005301837696461,0.009005268422461316,-3.341523514485689e-08,0.00012434981939813024
ridge->equal (lam=10),0.00900530851979358,0.009005305173574528,-3.346219051847399e-09,0.00012435650149524892
greedy Caruana,0.0094232960943662,0.00882553917930333,-0.0005977569150628706,0.0005423440760678692
NNLS shrunk 50% to equal,0.009178679331185264,0.008863134461491597,-0.000315544869693667,0.00029772731288693274
per-horizon NNLS,0.009312081199065951,,,0.0004311291807676202
per-horizon simplex,0.009005309266332372,,,0.0001243572480340415
median of production members,0.008877719498196684,,,-3.2325201016463606e-06
trimmed mean (drop hi+lo),0.008885019417901475,,,4.067399603143937e-06
equal mean of production members,0.00891348711533953,,,3.253509704119993e-05
